Def Pass Rank,Team,GP_pass,CMP,ATT,CMP%,PYA,PYPA,PYPG,TD_pass,INT,SCK,Week,Def Rec Rank,GP_rec,REC,RY,YP,RYPG,TD_rec,FUM,FL,Def Rush Rank,GP,ATT_rush,RY_rush,YPC,RYPG_rush,TD,FUM_rush,FL_rush
1, BAL,1,23,32,71.9,183,5.7,183,1,0,4,Wild Card,1,1,23,183,5.7,183,1,2,1,2,1,18,51,2.8,51,1,2,1
2, BUF,1,18,45,40.0,189,4.2,189,1,2,4,Wild Card,2,1,18,189,4.2,189,1,0,0,1,1,20,42,2.1,42,1,0,0
3, CIN,1,17,29,58.6,209,7.2,209,2,1,2,Wild Card,3,1,17,209,7.2,209,2,2,1,11,1,35,155,4.4,155,0,2,1
4, SF,1,25,35,71.4,228,6.5,228,2,1,3,Wild Card,4,1,25,228,6.5,228,2,1,1,6,1,25,104,4.2,104,1,1,1
5, JAX,1,25,43,58.1,253,5.9,253,1,0,3,Wild Card,5,1,25,253,5.9,253,1,1,0,5,1,23,67,2.9,67,2,1,0
6, NYG,1,32,40,80.0,271,6.8,271,2,0,0,Wild Card,6,1,32,271,6.8,271,2,1,0,4,1,16,61,3.8,61,1,1,0
7, LAC,1,28,47,59.6,273,5.8,273,4,4,2,Wild Card,7,1,28,273,5.8,273,4,1,1,8,1,21,117,5.6,117,0,1,1
8, MIN,1,24,35,68.6,289,8.3,289,2,0,3,Wild Card,8,1,24,289,8.3,289,2,1,0,10,1,30,142,4.7,142,2,1,0
9, TB,1,25,33,75.8,297,9.0,297,4,0,1,Wild Card,9,1,25,297,9.0,297,4,0,0,9,1,35,128,3.7,128,1,0,0
10, MIA,1,23,39,59.0,316,8.1,316,3,2,7,Wild Card,10,1,23,316,8.1,316,3,4,1,7,1,26,107,4.1,107,1,4,1
11, SEA,1,18,30,60.0,324,10.8,324,3,0,1,Wild Card,11,1,18,324,10.8,324,3,0,0,12,1,33,181,5.5,181,1,0,0
12, DAL,1,35,66,53.0,334,5.1,334,2,1,2,Wild Card,12,1,35,334,5.1,334,2,2,0,3,1,12,52,4.3,52,0,2,0
1, PHI,1,15,27,55.6,109,4.0,109,0,1,5,Divisional,1,1,15,109,4.0,109,0,1,0,4,1,20,118,5.9,118,1,1,0
2, NYG,1,16,24,66.7,148,6.2,148,2,0,1,Divisional,2,1,16,148,6.2,148,2,1,0,8,1,44,268,6.1,268,3,1,0
3, DAL,1,19,29,65.5,199,6.9,199,0,0,2,Divisional,3,1,19,199,6.9,199,0,1,1,3,1,32,113,3.5,113,1,1,1
4, KC,1,24,39,61.5,205,5.3,205,1,1,2,Divisional,4,1,24,205,5.3,205,1,1,1,6,1,19,144,7.6,144,1,1,1
5, SF,1,23,37,62.2,206,5.6,206,1,2,1,Divisional,5,1,23,206,5.6,206,1,0,0,2,1,22,76,3.5,76,0,0,0
6, JAX,1,27,37,73.0,218,5.9,218,3,0,0,Divisional,6,1,27,218,5.9,218,3,0,0,5,1,30,144,4.8,144,0,0,0
7, BUF,1,23,36,63.9,240,6.7,240,2,0,1,Divisional,7,1,23,240,6.7,240,2,0,0,7,1,34,172,5.1,172,1,0,0
8, CIN,1,25,42,59.5,262,6.2,262,0,1,1,Divisional,8,1,25,262,6.2,262,0,0,0,1,1,19,63,3.3,63,1,0,0
1, PHI,1,11,18,61.1,83,4.6,83,0,0,3,Conference Championship,1,1,11,83,4.6,83,0,3,3,3,1,24,81,3.4,81,1,3,3
2, SF,1,15,25,60.0,121,4.8,121,0,0,1,Conference Championship,2,1,15,121,4.8,121,0,0,0,4,1,44,148,3.4,148,4,0,0
3, KC,1,26,41,63.4,238,5.8,238,1,2,5,Conference Championship,3,1,26,238,5.8,238,1,0,0,2,1,17,71,4.2,71,1,0,0
4, CIN,1,29,43,67.4,315,7.3,315,2,0,3,Conference Championship,4,1,29,315,7.3,315,2,2,1,1,1,20,42,2.1,42,0,2,1
1, PHI,1,21,27,77.8,182,6.7,182,3,0,0,Super Bowl,1,1,21,182,6.7,182,3,1,0,2,1,26,158,6.1,158,1,1,0
2, KC,1,27,38,71.1,302,7.9,302,1,0,2,Super Bowl,2,1,27,302,7.9,302,1,2,1,1,1,32,115,3.6,115,3,2,1
