Kick Rank,Team,GP_kicking,FGM,FGA,FG%,XPA,XPM,XP%,Week,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PB,PR,PRYDS,PRYPG,Return Rank,GP,KR,KRYDS,KRYPG,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRLNG,PRT
1, SF,1,4,4,100.0,3,3,100.0,Wild Card,1,1,1,57,57.0,0,1,16,16.0,1,1,0,0,,0,0,1,16,16.0,16,0
2, LAC,1,3,4,75.0,3,3,100.0,Wild Card,12,1,5,203,40.6,0,0,0,,12,1,3,51,17.0,20,0,0,0,,0,0
3, MIA,1,3,3,100.0,2,2,100.0,Wild Card,10,1,6,262,43.7,0,2,53,26.5,7,1,1,23,23.0,23,0,2,53,26.5,50,0
4, BUF,1,2,2,100.0,4,4,100.0,Wild Card,6,1,5,239,47.8,0,3,17,5.7,4,1,2,56,28.0,30,0,3,17,5.7,11,0
5, BAL,1,1,1,100.0,2,2,100.0,Wild Card,7,1,3,142,47.3,0,2,26,13.0,8,1,3,65,21.7,29,0,2,26,13.0,16,0
6, JAX,1,1,1,100.0,2,2,100.0,Wild Card,11,1,3,124,41.3,0,2,4,2.0,3,1,5,140,28.0,52,0,2,4,2.0,4,0
7, SEA,1,1,1,100.0,2,2,100.0,Wild Card,5,1,4,194,48.5,0,1,0,0.0,6,1,7,164,23.4,37,0,1,0,0.0,0,0
8, NYG,1,1,1,100.0,4,4,100.0,Wild Card,9,1,2,90,45.0,0,2,17,8.5,11,1,1,19,19.0,24,0,2,17,8.5,10,0
9, CIN,1,1,1,100.0,2,1,50.0,Wild Card,3,1,3,151,50.3,0,2,9,4.5,9,1,2,42,21.0,26,0,2,9,4.5,5,0
10, MIN,1,1,1,100.0,3,3,100.0,Wild Card,2,1,3,164,54.7,0,1,0,0.0,5,1,1,24,24.0,24,0,1,0,0.0,0,0
11, TB,1,0,0,,0,0,,Wild Card,4,1,5,245,49.0,0,3,34,11.3,10,1,3,58,19.3,24,0,3,34,11.3,14,0
12, DAL,1,0,0,,5,1,20.0,Wild Card,8,1,4,189,47.3,0,2,7,3.5,2,1,1,35,35.0,35,0,2,7,3.5,7,0
1, SF,1,4,4,100.0,1,1,100.0,Divisional,7,1,4,164,41.0,0,2,17,8.5,3,1,1,53,53.0,53,0,2,17,8.5,13,0
2, KC,1,2,2,100.0,3,3,100.0,Divisional,1,1,4,203,50.8,0,3,23,7.7,2,1,0,0,,0,0,3,23,7.7,11,0
3, CIN,1,2,2,100.0,3,3,100.0,Divisional,8,1,2,73,36.5,0,2,25,12.5,8,1,1,21,21.0,21,0,2,25,12.5,14,0
4, JAX,1,2,2,100.0,2,2,100.0,Divisional,2,1,4,191,47.8,0,3,23,7.7,4,1,3,131,43.7,63,0,3,23,7.7,9,0
5, DAL,1,2,2,100.0,1,0,0.0,Divisional,3,1,4,187,46.8,0,0,0,,5,1,4,120,30.0,44,0,0,0,,0,0
6, BUF,1,1,1,100.0,1,1,100.0,Divisional,4,1,4,179,44.8,0,0,0,,7,1,4,90,22.5,24,0,0,0,,0,0
7, PHI,1,1,1,100.0,5,5,100.0,Divisional,6,1,3,129,43.0,0,0,0,,1,1,0,0,,0,0,0,0,,0,0
8, NYG,1,0,0,,1,1,100.0,Divisional,5,1,5,216,43.2,0,1,-3,-3.0,6,1,5,130,26.0,30,0,1,-3,-3.0,0,0
1, KC,1,3,3,100.0,2,2,100.0,Conference Championship,4,1,4,151,37.8,0,3,41,13.7,3,1,3,63,21.0,23,0,3,41,13.7,29,0
2, CIN,1,2,2,100.0,2,2,100.0,Conference Championship,1,1,4,196,49.0,0,1,5,5.0,4,1,3,56,18.7,29,0,1,5,5.0,5,0
3, PHI,1,1,1,100.0,4,4,100.0,Conference Championship,2,1,4,180,45.0,0,0,0,,2,1,1,29,29.0,29,0,0,0,,0,0
4, SF,1,0,0,,1,1,100.0,Conference Championship,3,1,4,168,42.0,0,2,17,8.5,1,1,3,107,35.7,42,0,2,17,8.5,9,0
1, PHI,1,2,2,100.0,3,3,100.0,Super Bowl,2,1,2,95,47.5,0,2,35,17.5,2,1,1,11,11.0,11,0,2,35,17.5,27,0
2, KC,1,1,2,50.0,5,5,100.0,Super Bowl,1,1,2,98,49.0,0,2,77,38.5,1,1,0,0,,0,0,2,77,38.5,65,0
