Week,Day,Date,Time,Winner/tie,,Loser/tie,Winner Pts,Loser Pts,YdsW,TOW,YdsL,TOL,Tie
WildCard,Sat,1/14/2023,4:30PM,San Francisco 49ers,,Seattle Seahawks,41,23,505,0,332,2,No
WildCard,Sat,1/14/2023,8:15PM,Jacksonville Jaguars,,Los Angeles Chargers,31,30,390,5,320,0,No
WildCard,Sun,1/15/2023,1:00PM,Buffalo Bills,,Miami Dolphins,34,31,423,3,231,2,No
WildCard,Sun,1/15/2023,4:30PM,New York Giants,@,Minnesota Vikings,31,24,431,0,332,0,No
WildCard,Sun,1/15/2023,8:15PM,Cincinnati Bengals,,Baltimore Ravens,24,17,234,1,364,2,No
WildCard,Mon,1/16/2023,8:15PM,Dallas Cowboys,@,Tampa Bay Buccaneers,31,14,425,0,386,1,No
Division,Sat,1/21/2023,4:30PM,Kansas City Chiefs,,Jacksonville Jaguars,27,20,362,0,349,2,No
Division,Sat,1/21/2023,8:15PM,Philadelphia Eagles,,New York Giants,38,7,416,0,227,1,No
Division,Sun,1/22/2023,3:00PM,Cincinnati Bengals,@,Buffalo Bills,27,10,412,0,325,1,No
Division,Sun,1/22/2023,6:30PM,San Francisco 49ers,,Dallas Cowboys,19,12,312,1,282,2,No
ConfChamp,Sun,1/29/2023,3:00PM,Philadelphia Eagles,,San Francisco 49ers,31,7,269,0,164,3,No
ConfChamp,Sun,1/29/2023,6:30PM,Kansas City Chiefs,,Cincinnati Bengals,23,20,357,1,309,2,No
SuperBowl,Sun,2/12/2023,6:30PM,Kansas City Chiefs,N,Philadelphia Eagles,38,35,340,0,417,1,No
