,Correlation,P-value
Def Pass Rank,-0.06930019284800443,0.12670420830045848
CMP_def,0.03182253906789613,0.4835308088368789
ATT_def,0.1830636329138578,4.826510137364249e-05
CMP%_def,-0.25762709840139314,8.003845473347763e-09
PYA,-0.08131628499101397,0.07299650580106586
PYPA_def,-0.29174540915512337,5.2007571657474846e-11
PYPG_def,-0.08131628499101397,0.07299650580106586
TD_pass_def,-0.2045753529364581,5.333974496584504e-06
INT_def,0.29282281860993625,4.38539894069829e-11
SCK_def,0.2770455574085029,4.961451131938371e-10
Def Rec Rank,-0.06953207012079086,0.12543585737144955
REC_def,0.03182253906789613,0.4835308088368789
RY_def,-0.08131628499101397,0.07299650580106586
YP_def,-0.2917114220851403,5.22874732980994e-11
RYPG_def,-0.08131628499101397,0.07299650580106586
TD_rec_def,-0.2045753529364581,5.333974496584504e-06
FUM_def,0.234471827963784,1.6571286233550742e-07
FL_def,0.24071671605988923,7.54099615597166e-08
Def Rush Rank,-0.2908260246133477,6.011950318102968e-11
ATT_rush_def,-0.4227341123069971,1.5665133711351375e-22
RY_rush_def,-0.2862718420428815,1.2232048899118904e-10
YPC_def,-0.04521485339559366,0.31937161639469414
RYPG_rush_def,-0.2862718420428815,1.2232048899118904e-10
TD_def,-0.31186565722549875,1.909370269868653e-12
FUM_rush_def,0.234471827963784,1.6571286233550742e-07
FL_rush_def,0.24071671605988923,7.54099615597166e-08
Off Pass Rank,-0.12270289334672521,0.006705839185227338
ATT_off,-0.10968580244309607,0.01545043261314286
CMP_off,0.04032685436808725,0.37453513540997824
CMP%_off,0.28541275587346615,1.3965971687806985e-10
PY,0.12800178061969414,0.004667320866150854
PYPA_off,0.28520423205396833,1.4421681656206095e-10
PYPG_off,0.12800178061969414,0.004667320866150854
TD_pass_off,0.22880378815003377,3.322892825609381e-07
INT_off,-0.30059064282877684,1.2554173612430483e-11
SCK_off,-0.2426351866647388,5.894862147019428e-08
Off Rec Rank,-0.11966432441819551,0.008205858064561488
REC_off,0.04032685436808725,0.37453513540997824
RY_off,0.12800178061969414,0.004667320866150854
YP_off,0.285165496087468,1.4507916576591115e-10
RYPG_off,0.12800178061969414,0.004667320866150854
TD_rec_off,0.22880378815003377,3.322892825609381e-07
FUM_off,-0.1941143462454446,1.6045648705581646e-05
FL_off,-0.2026568752074382,6.55615023219659e-06
Off Rush Rank,-0.2944295641735047,3.39614540286687e-11
ATT_rush_off,0.42860729262374553,3.515131987609795e-23
RY_rush_off,0.28412994911253164,1.7008830996348465e-10
YPC_off,0.04174460420122337,0.3579614067226472
RYPG_rush_off,0.28412994911253164,1.7008830996348465e-10
TD_off,0.2868117970714382,1.125158170514937e-10
FUM_rush_off,-0.1941143462454446,1.6045648705581646e-05
FL_rush_off,-0.2026568752074382,6.55615023219659e-06
Kick Rank,-0.1534608804189839,0.000678723677743405
FGM,0.16652005962361952,0.0002232543724626351
FGA,0.1635104910941753,0.00029063828331195985
FG%,0.09225150261949912,0.041858656247379875
FG%_Missing,-0.10428330326293725,0.021352276706949214
XPA,0.4375319804556859,3.428619168385489e-24
XPM,0.44194418058488294,1.0573163939558393e-24
XP%,0.23940111331380168,8.917697279918366e-08
XP%_Missing,-0.21573254027938596,1.5454580247416591e-06
Punt Rank,0.004500647272471464,0.9210859478019997
PUNTS,-0.09005818368995397,0.046995417498432446
PYDS,-0.09253723790552143,0.0412257193573096
PYPG,-0.060255001004207775,0.18434290077625734
PYPG_Missing,0.08156518753426706,0.07212019139113542
PB,-0.04529412612838571,0.3185230314143064
PR,0.13244066937186327,0.0034103068588482287
PRYDS,0.12772362608136878,0.004758522458308668
PRYPG,0.09059985313174793,0.04568003904920307
PRYPG_Missing,-0.07375625563986803,0.10401544564111986
Return Rank,-0.06044055288532577,0.1829927257954
KR,-0.027352831657134726,0.5470504111644428
KRYDS,-0.01930432002847724,0.6708701601882797
KRYPG,-0.09249067567998785,0.041328305536992314
KRYPG_Missing,0.11229147347141745,0.013155366211169731
KRLNG,-0.038786668514522844,0.39306676391155615
KRT,0.04862604732473901,0.2841877001298297
PR_return,0.0254487832636059,0.5753067167760695
PRYDS_return,0.022051275901901122,0.6273658614280687
PRYPG_return,0.08032815537212222,0.07656149205365881
PRYPG_return_Missing,-0.07985141838866326,0.07833139756540489
PRLNG,0.08558323104404489,0.0591243291402692
PRT,0.01764435968941991,0.6977150817066383
